appid,review_score_desc,total_positive,total_negative
3088670,Very Positive,64,16
3088680,2 user reviews,1,1
3088700,No user reviews,0,0
3088730,No user reviews,0,0
3088740,No user reviews,0,0
3088750,3 user reviews,1,2
3088760,No user reviews,0,0
3088770,Mixed,36,34
3088790,1 user reviews,1,0
3088820,9 user reviews,7,2
3088890,1 user reviews,1,0
3088900,Positive,10,1
3088960,No user reviews,0,0
3088990,Mixed,36,27
3089030,Positive,18,0
3089040,Mostly Positive,76,23
3089100,No user reviews,0,0
3089130,Very Positive,661,65
3089150,Very Positive,569,82
3089260,Mixed,30,23
3089270,1 user reviews,1,0
3089280,5 user reviews,4,1
3089290,Mixed,73,56
3089340,Positive,18,1
3089390,No user reviews,0,0
3089410,No user reviews,0,0
3089420,Mostly Positive,15,4
3089430,8 user reviews,0,8
3089450,Very Positive,259,13
3089460,6 user reviews,4,2
3089480,3 user reviews,1,2
3089510,No user reviews,0,0
3089570,Mostly Positive,13,4
3089580,No user reviews,0,0
3089600,No user reviews,0,0
3089610,No user reviews,0,0
3089640,Positive,14,2
3089680,No user reviews,0,0
3089700,Very Positive,100,7
3089710,Mostly Positive,10,4
3089740,No user reviews,0,0
3089760,Mixed,12,10
3089820,No user reviews,0,0
3089830,No user reviews,0,0
3089850,Mostly Positive,18,5
3089860,No user reviews,0,0
3089870,No user reviews,0,0
3089960,Positive,11,0
3090010,No user reviews,0,0
3090050,No user reviews,0,0
3090070,Positive,9,1
3090080,Overwhelmingly Positive,529,19
3090100,Positive,41,6
3090270,No user reviews,0,0
3090490,No user reviews,0,0
3090510,2 user reviews,2,0
3090570,Very Positive,81,3
3090600,1 user reviews,1,0
3090610,Mostly Negative,28,51
3090620,No user reviews,0,0
3090630,Positive,11,1
3090670,5 user reviews,5,0
3090680,6 user reviews,4,2
3090790,Positive,29,7
3090800,6 user reviews,5,1
3090810,No user reviews,0,0
3090820,Positive,21,1
3090830,No user reviews,0,0
3090840,Positive,38,9
3090860,Very Positive,93,14
3090870,Mixed,46,32
3090890,No user reviews,0,0
3090910,Very Positive,57,10
3090920,Positive,13,1
3090930,1 user reviews,0,1
3090940,7 user reviews,6,1
3090950,3 user reviews,1,2
3090980,Very Positive,357,13
3090990,Mixed,33,21
3091000,No user reviews,0,0
3091010,Very Positive,76,1
3091030,No user reviews,0,0
3091110,No user reviews,0,0
3091120,No user reviews,0,0
3091140,No user reviews,0,0
3091150,Positive,23,1
3091160,No user reviews,0,0
3091200,4 user reviews,4,0
3091230,6 user reviews,5,1
3091240,No user reviews,0,0
3091260,No user reviews,0,0
3091270,1 user reviews,1,0
3091300,3 user reviews,3,0
3091310,Positive,19,1
3091330,No user reviews,0,0
3091340,Mostly Positive,404,112
3091360,No user reviews,0,0
3091390,Mixed,265,149
3091400,Positive,36,7
3091410,No user reviews,0,0
3091420,Positive,28,6
3091470,No user reviews,0,0
3091480,Mixed,19,12
3091520,4 user reviews,4,0
3091530,No user reviews,0,0
3091540,Positive,22,2
3091610,No user reviews,0,0
3091660,Mostly Positive,22,9
3091760,Mixed,17,17
3091770,Very Positive,399,31
3091780,No user reviews,0,0
3091830,3 user reviews,3,0
3091860,No user reviews,0,0
3091880,No user reviews,0,0
3091930,Positive,19,3
3091940,Mostly Positive,176,46
3091990,4 user reviews,3,1
3092000,2 user reviews,2,0
3092040,Very Positive,48,9
3092050,2 user reviews,1,1
3092060,No user reviews,0,0
3092080,No user reviews,0,0
3092090,Mixed,37,28
3092100,No user reviews,0,0
3092110,Mixed,35,46
3092150,No user reviews,0,0
3092190,Positive,35,1
3092200,Positive,9,1
3092240,1 user reviews,1,0
3092250,3 user reviews,1,2
3092260,Mostly Positive,88,24
3092280,Positive,19,2
3092360,Very Positive,188,15
3092430,No user reviews,0,0
3092440,No user reviews,0,0
3092500,2 user reviews,0,2
3092510,No user reviews,0,0
3092530,No user reviews,0,0
3092540,Positive,29,2
3092560,Positive,35,2
3092580,No user reviews,0,0
3092600,No user reviews,0,0
3092640,Mixed,7,8
3092660,Very Positive,4284,307
3092680,Positive,23,5
3092700,No user reviews,0,0
3092710,No user reviews,0,0
3092750,Mixed,48,31
3092760,9 user reviews,7,2
3092850,No user reviews,0,0
3092870,No user reviews,0,0
3092900,No user reviews,0,0
3092960,5 user reviews,4,1
3092980,Mixed,75,75
3093020,Mostly Positive,188,71
3093030,No user reviews,0,0
3093040,No user reviews,0,0
3093050,Very Positive,99,4
3093070,No user reviews,0,0
3093090,3 user reviews,3,0
3093150,6 user reviews,1,5
3093160,No user reviews,0,0
3093180,No user reviews,0,0
3093220,5 user reviews,5,0
3093230,Positive,10,0
3093250,Mostly Negative,5,12
3093290,No user reviews,0,0
3093300,No user reviews,0,0
3093310,2 user reviews,2,0
3093320,No user reviews,0,0
3093330,No user reviews,0,0
3093360,2 user reviews,2,0
3093370,Positive,15,2
3093390,No user reviews,0,0
3093400,Mostly Positive,868,284
3093410,No user reviews,0,0
3093420,3 user reviews,0,3
3093470,No user reviews,0,0
3093490,1 user reviews,1,0
3093500,No user reviews,0,0
3093510,No user reviews,0,0
3093540,No user reviews,0,0
3093570,Positive,9,2
3093580,1 user reviews,1,0
3093590,Very Positive,292,14
3093600,Positive,22,0
3093640,Mostly Positive,14,4
3093670,No user reviews,0,0
3093690,Mostly Positive,59,15
3093700,4 user reviews,4,0
3093750,No user reviews,0,0
3093770,No user reviews,0,0
3093840,Positive,27,0
3093850,Mixed,11,11
3093860,Positive,24,2
3093870,6 user reviews,5,1
3093880,8 user reviews,5,3
3093890,5 user reviews,3,2
3093900,No user reviews,0,0
3093910,No user reviews,0,0
3093960,1 user reviews,1,0
3093990,No user reviews,0,0
3094010,Overwhelmingly Positive,3708,138
3094040,Mostly Positive,48,20
3094050,No user reviews,0,0
3094140,3 user reviews,3,0
3094150,Very Positive,91,3
3094180,Positive,10,0
3094190,No user reviews,0,0
3094210,Very Positive,67,1
3094220,Mixed,18,10
3094230,No user reviews,0,0
3094250,No user reviews,0,0
3094260,No user reviews,0,0
3094270,Positive,23,0
3094280,Positive,18,1
3094340,No user reviews,0,0
3094350,Mixed,25,18
3094390,1 user reviews,0,1
3094400,No user reviews,0,0
3094440,No user reviews,0,0
3094450,2 user reviews,2,0
3094480,Mostly Positive,434,178
3094490,5 user reviews,1,4
3094520,No user reviews,0,0
3094540,No user reviews,0,0
3094550,Mostly Positive,13,4
3094560,3 user reviews,0,3
3094590,Positive,9,1
3094600,6 user reviews,4,2
3094610,Positive,13,1
3094620,No user reviews,0,0
3094630,4 user reviews,4,0
3094650,8 user reviews,5,3
3094660,Positive,12,2
3094680,No user reviews,0,0
3094690,No user reviews,0,0
3094700,No user reviews,0,0
3094710,No user reviews,0,0
3094740,Mostly Positive,27,8
3094750,No user reviews,0,0
3094760,No user reviews,0,0
3094770,9 user reviews,6,3
3094780,No user reviews,0,0
3094800,8 user reviews,8,0
3094820,Positive,35,4
3094830,3 user reviews,2,1
3094840,Very Positive,82,17
3094870,No user reviews,0,0
3094880,No user reviews,0,0
3094920,No user reviews,0,0
3094970,Positive,23,4
3094990,No user reviews,0,0
3095010,Mixed,28,20
3095020,No user reviews,0,0
3095030,6 user reviews,6,0
3095100,1 user reviews,1,0
3095110,2 user reviews,1,1
3095120,2 user reviews,1,1
3095130,No user reviews,0,0
3095160,No user reviews,0,0
3095170,Very Positive,217,35
3095180,No user reviews,0,0
3095190,No user reviews,0,0
3095260,2 user reviews,2,0
3095270,Mixed,27,13
3095280,No user reviews,0,0
3095300,No user reviews,0,0
3095320,No user reviews,0,0
3095380,Mixed,101,67
3095410,Mostly Positive,16,5
3095450,No user reviews,0,0
3095500,No user reviews,0,0
3095540,2 user reviews,2,0
3095550,Very Positive,141,7
3095560,Positive,23,2
3095570,Positive,25,1
3095590,Mixed,88,44
3095600,Very Positive,79,6
3095630,No user reviews,0,0
3095640,No user reviews,0,0
3095660,8 user reviews,4,4
3095680,5 user reviews,5,0
3095720,Positive,39,1
3095770,No user reviews,0,0
3095780,2 user reviews,2,0
3095790,No user reviews,0,0
3095800,Mixed,42,20
3095820,No user reviews,0,0
3095830,Mixed,42,19
3095840,No user reviews,0,0
3095870,3 user reviews,1,2
3095890,Positive,37,2
3095900,4 user reviews,4,0
3095910,No user reviews,0,0
3095920,4 user reviews,4,0
3095960,1 user reviews,0,1
3095980,No user reviews,0,0
3096000,Very Positive,47,4
3096010,2 user reviews,1,1
3096020,No user reviews,0,0
3096040,No user reviews,0,0
3096050,Very Positive,66,2
3096100,No user reviews,0,0
3096140,Very Positive,54,0
3096150,No user reviews,0,0
3096160,No user reviews,0,0
3096190,Positive,33,4
3096200,No user reviews,0,0
3096210,1 user reviews,1,0
3096220,4 user reviews,4,0
3096230,No user reviews,0,0
3096260,No user reviews,0,0
3096270,Very Positive,354,74
3096310,2 user reviews,1,1
3096320,No user reviews,0,0
3096330,Mostly Positive,42,14
3096340,Mostly Negative,4,10
3096350,8 user reviews,8,0
3096370,Positive,37,9
3096390,Positive,22,3
3096400,6 user reviews,4,2
3096410,2 user reviews,1,1
3096420,Very Positive,64,5
3096430,No user reviews,0,0
3096440,Positive,16,0
3096450,No user reviews,0,0
3096460,No user reviews,0,0
3096470,No user reviews,0,0
3096520,No user reviews,0,0
3096550,Very Positive,122,24
3096560,Very Positive,323,20
3096570,5 user reviews,5,0
3096600,9 user reviews,9,0
3096620,Very Positive,483,105
3096650,Positive,13,0
3096690,No user reviews,0,0
3096700,Very Positive,44,10
3096710,No user reviews,0,0
3096720,No user reviews,0,0
3096730,Mostly Positive,68,21
3096740,Positive,19,1
3096760,No user reviews,0,0
3096780,No user reviews,0,0
3096800,No user reviews,0,0
3096820,Mixed,27,16
3096840,Mostly Positive,37,13
3096870,No user reviews,0,0
3096890,2 user reviews,1,1
3096940,No user reviews,0,0
3096950,Positive,10,0
3096960,5 user reviews,5,0
3097010,2 user reviews,1,1
3097030,No user reviews,0,0
3097040,No user reviews,0,0
3097060,No user reviews,0,0
3097090,6 user reviews,2,4
3097170,6 user reviews,0,6
3097200,2 user reviews,0,2
3097220,No user reviews,0,0
3097240,Positive,43,5
3097280,8 user reviews,7,1
3097290,No user reviews,0,0
3097300,Overwhelmingly Positive,7554,27
3097310,7 user reviews,6,1
3097320,3 user reviews,2,1
3097330,Very Positive,80,18
3097340,No user reviews,0,0
3097350,No user reviews,0,0
3097370,No user reviews,0,0
3097380,Mixed,13,10
3097410,No user reviews,0,0
3097420,Mixed,9,6
3097440,7 user reviews,1,6
3097450,7 user reviews,6,1
3097480,No user reviews,0,0
3097510,Very Positive,116,16
3097550,Mixed,24,16
3097560,Very Positive,49815,5657
3097630,No user reviews,0,0
3097640,No user reviews,0,0
3097650,No user reviews,0,0
3097660,No user reviews,0,0
3097670,Mixed,22,29
3097680,Mostly Positive,21,7
3097690,3 user reviews,1,2
3097720,5 user reviews,1,4
3097730,No user reviews,0,0
3097740,8 user reviews,5,3
3097750,Mostly Positive,35,15
3097760,1 user reviews,1,0
3097770,No user reviews,0,0
3097780,1 user reviews,1,0
3097860,No user reviews,0,0
3098020,Mostly Positive,9,3
3098030,No user reviews,0,0
3098040,No user reviews,0,0
3098050,No user reviews,0,0
3098060,Mostly Positive,135,37
3098070,Mostly Positive,442,120
3098140,Mixed,1031,640
3098150,No user reviews,0,0
3098160,No user reviews,0,0
3098170,Very Positive,92,15
3098200,5 user reviews,3,2
3098250,2 user reviews,0,2
3098310,No user reviews,0,0
3098320,No user reviews,0,0
3098340,No user reviews,0,0
3098370,2 user reviews,2,0
3098380,5 user reviews,2,3
3098390,3 user reviews,2,1
3098410,Mostly Positive,14,4
3098420,No user reviews,0,0
3098430,Mostly Negative,6,11
3098460,No user reviews,0,0
3098470,Very Positive,412,52
3098480,No user reviews,0,0
3098490,Mostly Positive,48,13
3098500,No user reviews,0,0
3098580,7 user reviews,7,0
3098630,No user reviews,0,0
3098660,Very Positive,238,51
3098680,No user reviews,0,0
3098690,2 user reviews,0,2
3098700,Mostly Positive,29,8
3098710,2 user reviews,1,1
3098730,2 user reviews,2,0
3098750,Very Positive,58,2
3098770,No user reviews,0,0
3098780,No user reviews,0,0
3098820,Mixed,72,53
3098830,No user reviews,0,0
3098850,Mixed,9,6
3098880,6 user reviews,6,0
3098890,Mixed,292,346
3098910,No user reviews,0,0
3098920,5 user reviews,5,0
3098960,1 user reviews,1,0
3098970,2 user reviews,2,0
3099000,Very Positive,805,106
3099010,Positive,28,0
3099030,2 user reviews,2,0
3099090,No user reviews,0,0
3099190,Mostly Positive,103,26
3099330,Mostly Positive,27,10
3099350,No user reviews,0,0
3099360,Positive,23,2
3099370,Positive,11,2
3099380,1 user reviews,1,0
3099410,No user reviews,0,0
3099430,Positive,18,3
3099490,No user reviews,0,0
3099520,Mixed,60,28
3099540,Mixed,38,37
3099550,No user reviews,0,0
3099580,Mixed,41,21
3099620,No user reviews,0,0
3099630,Very Positive,195,9
3099640,Very Positive,1491,228
3099660,Very Positive,1743,403
3099670,Mostly Positive,17,5
3099680,Positive,15,0
3099690,Mostly Positive,74,27
3099730,Very Positive,620,73
3099750,Positive,28,7
3099770,8 user reviews,5,3
3099780,No user reviews,0,0
3099790,Mostly Positive,36,11
3099830,No user reviews,0,0
3099840,Very Positive,529,127
3099870,Mostly Positive,10,4
3099880,No user reviews,0,0
3100010,No user reviews,0,0
3100100,No user reviews,0,0
3100130,No user reviews,0,0
3100170,No user reviews,0,0
3100180,Mixed,8,5
3100190,Mixed,15,13
3100210,Very Positive,358,8
3100310,Very Positive,593,67
3100330,Positive,12,2
3100350,No user reviews,0,0
3100370,Very Positive,976,101
3100420,No user reviews,0,0
3100500,Positive,14,3
3100520,No user reviews,0,0
3100540,Mostly Positive,22,8
3100560,No user reviews,0,0
3100580,Mixed,7,4
3100610,4 user reviews,4,0
3100640,7 user reviews,4,3
3100650,Positive,43,1
3100660,No user reviews,0,0
3100680,No user reviews,0,0
3100690,No user reviews,0,0
3100700,No user reviews,0,0
3100710,No user reviews,0,0
3100730,9 user reviews,4,5
3100740,Mostly Negative,3,10
3100780,9 user reviews,9,0
3100790,Positive,28,4
3100810,Mixed,14,9
3100820,No user reviews,0,0
3100860,No user reviews,0,0
3100900,No user reviews,0,0
3100910,Very Positive,90,14
3100940,No user reviews,0,0
3100950,Positive,17,3
3100970,No user reviews,0,0
3100990,Positive,28,5
3101010,Positive,38,2
3101040,Overwhelmingly Positive,30391,1076
3101050,Mostly Positive,9,3
3101110,Very Positive,67,16
3101120,No user reviews,0,0
3101140,7 user reviews,7,0
3101160,Mixed,57,33
3101180,Mixed,12,6
3101190,No user reviews,0,0
3101230,8 user reviews,6,2
3101240,No user reviews,0,0
3101330,7 user reviews,6,1
3101340,Positive,9,1
3101350,8 user reviews,6,2
3101380,5 user reviews,5,0
3101400,No user reviews,0,0
3101430,No user reviews,0,0
3101450,3 user reviews,3,0
3101480,No user reviews,0,0
3101500,No user reviews,0,0
3101510,5 user reviews,4,1
3101580,No user reviews,0,0
3101600,2 user reviews,2,0
3101620,Very Positive,52,8
3101630,2 user reviews,2,0
3101640,Positive,17,3
3101670,Very Positive,71,13
3101680,No user reviews,0,0
3101690,No user reviews,0,0
3101700,3 user reviews,3,0
3101710,Positive,8,2
3101720,Mixed,95,89
3101740,1 user reviews,1,0
3101770,Mostly Positive,104,30
3101780,No user reviews,0,0
3101800,Mixed,14,17
3101810,No user reviews,0,0
3101910,1 user reviews,1,0
3101920,2 user reviews,2,0
3101960,No user reviews,0,0
3101980,No user reviews,0,0
3102000,Mostly Positive,67,21
3102010,No user reviews,0,0
3102020,Positive,20,2
3102030,Mixed,21,21
3102100,Positive,21,1
3102130,Positive,20,0
3102180,No user reviews,0,0
3102210,Mixed,23,18
3102220,No user reviews,0,0
3102240,Mostly Positive,17,5
3102250,Positive,19,0
3102270,2 user reviews,2,0
3102290,Mixed,10,8
3102310,No user reviews,0,0
3102330,No user reviews,0,0
3102340,Positive,46,0
3102370,No user reviews,0,0
3102380,Mostly Positive,52,15
3102410,Positive,13,0
3102440,Positive,23,2
3102450,No user reviews,0,0
3102460,4 user reviews,4,0
3102520,No user reviews,0,0
3102530,No user reviews,0,0
3102540,7 user reviews,6,1
3102550,No user reviews,0,0
3102650,8 user reviews,8,0
3102660,4 user reviews,2,2
3102670,No user reviews,0,0
3102680,No user reviews,0,0
3102730,No user reviews,0,0
3102740,Positive,8,2
3102750,Positive,43,4
3102780,No user reviews,0,0
3102790,2 user reviews,1,1
3102800,Positive,22,2
3102810,No user reviews,0,0
3102820,Mostly Positive,71,19
3102870,No user reviews,0,0
3102890,No user reviews,0,0
3102900,No user reviews,0,0
3102950,No user reviews,0,0
3103000,5 user reviews,4,1
3103040,Positive,9,2
3103070,No user reviews,0,0
3103170,Mixed,12,7
3103190,Positive,20,4
3103210,4 user reviews,2,2
3103230,9 user reviews,8,1
3103240,No user reviews,0,0
3103280,Mixed,37,17
3103290,6 user reviews,5,1
3103320,5 user reviews,5,0
3103330,Mostly Positive,105,34
3103340,7 user reviews,7,0
3103370,6 user reviews,1,5
3103380,Positive,25,5
3103390,Positive,28,5
3103400,No user reviews,0,0
3103420,Positive,11,1
3103460,Mixed,36,42
3103470,5 user reviews,5,0
3103480,Mostly Positive,22,6
3103490,No user reviews,0,0
3103510,No user reviews,0,0
3103560,No user reviews,0,0
3103580,No user reviews,0,0
3103590,3 user reviews,3,0
3103620,No user reviews,0,0
3103630,No user reviews,0,0
3103640,Positive,11,1
3103650,No user reviews,0,0
3103660,Positive,30,0
3103690,4 user reviews,3,1
3103720,No user reviews,0,0
3103730,No user reviews,0,0
3103750,Very Positive,107,11
3103760,Mixed,13,19
3103780,Overwhelmingly Positive,1614,63
3103800,No user reviews,0,0
3103820,Positive,38,7
3103830,Very Positive,93,6
3103840,Very Positive,5292,346
3103850,No user reviews,0,0
3103910,4 user reviews,4,0
3103930,Mostly Positive,236,91
3103940,Very Positive,43,10
3103950,1 user reviews,1,0
3103960,8 user reviews,8,0
3103970,Mostly Positive,40,15
3104000,Very Positive,67,8
3104020,Very Positive,103,9
3104030,Very Positive,101,5
3104050,Mostly Negative,6,13
3104070,No user reviews,0,0
3104100,6 user reviews,2,4
3104110,Positive,12,2
3104120,No user reviews,0,0
3104220,No user reviews,0,0
3104230,Very Positive,126,19
3104240,6 user reviews,1,5
3104250,1 user reviews,0,1
3104270,Very Positive,299,57
3104290,4 user reviews,4,0
3104300,7 user reviews,2,5
3104370,No user reviews,0,0
3104380,1 user reviews,0,1
3104410,Mixed,2953,2783
3104420,No user reviews,0,0
3104430,No user reviews,0,0
3104490,3 user reviews,1,2
3104510,Very Positive,52,4
3104540,Very Positive,60,15
3104550,Mostly Positive,15,4
3104570,Mixed,33,34
3104580,3 user reviews,3,0
3104590,7 user reviews,1,6
3104600,7 user reviews,6,1
3104610,Positive,10,1
3104620,4 user reviews,2,2
3104660,No user reviews,0,0
3104670,No user reviews,0,0
3104680,3 user reviews,3,0
3104780,No user reviews,0,0
3104790,No user reviews,0,0
3104810,1 user reviews,1,0
3104840,Positive,10,1
3104850,No user reviews,0,0
3104860,Positive,17,0
3104880,5 user reviews,4,1
3104900,No user reviews,0,0
3104920,5 user reviews,4,1
3104930,3 user reviews,2,1
3104970,Very Positive,490,44
3104980,No user reviews,0,0
3105020,Positive,14,1
3105040,No user reviews,0,0
3105050,Mostly Positive,23,9
3105060,No user reviews,0,0
3105100,Very Positive,47,5
3105130,No user reviews,0,0
3105140,Mixed,5,5
3105150,Positive,46,1
3105180,8 user reviews,4,4
3105190,No user reviews,0,0
3105290,1 user reviews,1,0
3105380,Mostly Positive,8,3
3105410,No user reviews,0,0
3105430,Positive,9,1
3105440,Very Positive,16311,2112
3105450,No user reviews,0,0
3105490,6 user reviews,6,0
3105560,7 user reviews,7,0
3105590,No user reviews,0,0
3105600,No user reviews,0,0
3105620,Positive,41,1
3105640,No user reviews,0,0
3105650,No user reviews,0,0
3105670,Mixed,55,40
3105680,Positive,23,2
3105690,1 user reviews,1,0
3105720,No user reviews,0,0
3105730,1 user reviews,1,0
3105760,Mixed,84,47
3105770,4 user reviews,2,2
3105780,No user reviews,0,0
3105890,Mixed,2189,1335
3105900,1 user reviews,1,0
3105910,1 user reviews,1,0
3105920,1 user reviews,1,0
3105940,1 user reviews,1,0
3105950,1 user reviews,1,0
3105960,Very Positive,292,29
3105980,1 user reviews,1,0
3106000,1 user reviews,1,0
3106010,No user reviews,0,0
3106050,No user reviews,0,0
3106060,8 user reviews,6,2
3106070,5 user reviews,4,1
3106080,No user reviews,0,0
3106110,1 user reviews,1,0
3106140,Positive,16,0
3106150,No user reviews,0,0
3106160,Mostly Positive,22,8
3106200,Mostly Positive,18,6
3106210,1 user reviews,0,1
3106220,No user reviews,0,0
3106240,No user reviews,0,0
3106260,5 user reviews,5,0
3106270,No user reviews,0,0
3106280,No user reviews,0,0
3106310,Mixed,9,4
3106320,No user reviews,0,0
3106330,5 user reviews,3,2
3106340,Positive,26,6
3106350,Positive,27,2
3106470,No user reviews,0,0
3106490,Very Positive,73,7
3106510,Mostly Positive,162,48
3106520,Mixed,34,17
3106530,Mostly Negative,123,195
3106540,No user reviews,0,0
3106560,Positive,16,2
3106580,1 user reviews,1,0
3106590,3 user reviews,2,1
3106600,9 user reviews,9,0
3106620,No user reviews,0,0
3106650,Positive,34,4
3106660,Very Positive,117,2
3106670,No user reviews,0,0
3106680,No user reviews,0,0
3106690,4 user reviews,3,1
3106730,No user reviews,0,0
3106750,8 user reviews,8,0
3106780,Positive,22,1
3106810,No user reviews,0,0
3106830,Mixed,8,4
3106860,No user reviews,0,0
3106870,No user reviews,0,0
3106880,7 user reviews,6,1
3106930,No user reviews,0,0
3106990,No user reviews,0,0
3107020,No user reviews,0,0
3107030,No user reviews,0,0
3107040,Positive,9,1
3107050,Positive,30,4
3107090,Mixed,13,12
3107130,Mostly Negative,4,7
3107140,5 user reviews,5,0
3107150,Mixed,14,9
3107210,No user reviews,0,0
3107230,Mostly Positive,3712,1330
3107250,Positive,40,2
3107270,Positive,10,1
3107290,No user reviews,0,0
3107310,Mostly Negative,45,96
3107320,No user reviews,0,0
3107330,Overwhelmingly Positive,13434,335
3107350,Overwhelmingly Positive,2412,74
3107360,Positive,35,0
3107440,Very Positive,101,2
3107450,No user reviews,0,0
3107480,No user reviews,0,0
3107490,No user reviews,0,0
3107520,2 user reviews,2,0
3107530,No user reviews,0,0
3107550,No user reviews,0,0
3107590,Very Positive,348,10
3107620,Mostly Positive,29,8
3107670,No user reviews,0,0
3107680,Very Positive,124,20
3107690,No user reviews,0,0
3107710,No user reviews,0,0
3107730,Positive,17,0
3107740,Positive,18,0
3107770,Mostly Negative,233,471
3107790,8 user reviews,8,0
3107800,Very Positive,2298,128
3107810,2 user reviews,1,1
3107820,Positive,10,1
3107840,1 user reviews,1,0
3107850,4 user reviews,4,0
3107860,Positive,9,2
3107870,No user reviews,0,0
3107880,Very Positive,321,76
3107890,Very Positive,71,8
3107900,Very Positive,593,116
3107930,Overwhelmingly Positive,547,25
3107940,Mostly Positive,17,7
3107950,Mostly Positive,17,5
3107960,Mixed,16,7
3107970,Positive,15,2
3107980,Mostly Negative,13,21
3107990,Mostly Positive,17,6
3108000,Mixed,45,20
3108010,Mostly Positive,43,16
3108030,No user reviews,0,0
3108040,No user reviews,0,0
3108050,Positive,30,1
3108060,Positive,26,2
3108110,No user reviews,0,0
3108120,No user reviews,0,0
3108130,Mostly Positive,68,18
3108140,Positive,23,1
3108180,8 user reviews,7,1
3108190,Very Positive,68,0
3108210,Mixed,18,16
3108230,Positive,21,0
3108240,9 user reviews,8,1
3108260,Negative,1,10
3108340,No user reviews,0,0
3108380,No user reviews,0,0
3108410,No user reviews,0,0
3108470,2 user reviews,1,1
3108490,Mostly Positive,15,6
3108510,Overwhelmingly Positive,11003,415
3108560,No user reviews,0,0
3108570,No user reviews,0,0
3108580,Positive,10,1
3108610,3 user reviews,3,0
3108640,8 user reviews,6,2
3108650,No user reviews,0,0
3108660,Positive,9,1
3108670,Positive,15,0
3108700,No user reviews,0,0
3108710,Mixed,50,32
3108720,Mixed,16,9
3108730,No user reviews,0,0
3108760,Positive,22,5
3108770,No user reviews,0,0
3108780,3 user reviews,1,2
3108790,Very Positive,112,24
3108820,2 user reviews,1,1
3108880,No user reviews,0,0
3108900,Mostly Positive,27,8
3108960,No user reviews,0,0
3108980,Very Positive,157,35
3108990,Mixed,33,17
3109000,Positive,9,1
3109010,No user reviews,0,0
3109030,No user reviews,0,0
3109040,No user reviews,0,0
3109050,Mixed,80,47
3109070,9 user reviews,5,4
3109080,2 user reviews,2,0
3109110,No user reviews,0,0
3109150,1 user reviews,1,0
3109160,No user reviews,0,0
3109170,No user reviews,0,0
3109180,No user reviews,0,0
3109210,Positive,16,4
3109240,No user reviews,0,0
3109270,Positive,25,4
3109280,Mostly Positive,284,81
3109290,1 user reviews,1,0
3109310,1 user reviews,1,0
3109340,2 user reviews,2,0
3109350,6 user reviews,1,5
3109370,Very Positive,111,23
3109410,No user reviews,0,0
3109430,No user reviews,0,0
3109440,Very Positive,175,27
3109450,8 user reviews,7,1
3109460,No user reviews,0,0
3109470,No user reviews,0,0
3109480,4 user reviews,4,0
3109490,No user reviews,0,0
3109500,No user reviews,0,0
3109510,No user reviews,0,0
3109540,No user reviews,0,0
3109550,No user reviews,0,0
3109560,No user reviews,0,0
3109580,Very Positive,2046,445
3109590,No user reviews,0,0
3109610,6 user reviews,5,1
3109640,5 user reviews,5,0
3109650,Very Positive,69,6
3109670,No user reviews,0,0
3109700,6 user reviews,5,1
3109740,No user reviews,0,0
3109800,Very Positive,270,14
3109810,4 user reviews,2,2
3109830,7 user reviews,6,1
3109840,3 user reviews,3,0
3109880,2 user reviews,0,2
3109960,8 user reviews,7,1
3109980,No user reviews,0,0
3109990,8 user reviews,4,4
3110000,Mostly Positive,24,7
3110010,Very Positive,337,36
3110070,Very Positive,4068,378
3110080,Very Positive,90,6
3110120,1 user reviews,0,1
3110130,Very Positive,364,27
3110150,8 user reviews,7,1
3110200,Positive,10,0
3110220,5 user reviews,4,1
3110230,No user reviews,0,0
3110240,No user reviews,0,0
3110250,Positive,16,3
3110260,Very Positive,50,6
3110270,Very Positive,55,2
3110290,No user reviews,0,0
3110310,5 user reviews,2,3
3110370,Very Positive,57,8
3110410,1 user reviews,1,0
3110420,Positive,12,0
3110430,3 user reviews,3,0
3110450,Very Positive,93,18
3110490,Very Positive,227,47
3110500,Mostly Positive,92,24
3110510,No user reviews,0,0
3110520,Very Positive,79,5
3110540,No user reviews,0,0
3110580,1 user reviews,1,0
3110600,3 user reviews,2,1
3110610,No user reviews,0,0
3110690,Mostly Positive,22,6
3110700,9 user reviews,6,3
3110710,1 user reviews,0,1
3110740,Positive,32,3
3110750,Mostly Positive,38,10
3110760,Very Positive,1829,101
3110800,No user reviews,0,0
3110820,Positive,21,3
3110840,No user reviews,0,0
3110930,Mostly Positive,12,4
3110960,No user reviews,0,0
3110970,5 user reviews,5,0
3110980,5 user reviews,5,0
3111010,Very Positive,89,21
3111020,4 user reviews,4,0
3111030,Mostly Positive,32,9
3111050,No user reviews,0,0
3111070,9 user reviews,9,0
3111080,Overwhelmingly Positive,988,32
3111130,No user reviews,0,0
3111140,Positive,45,4
3111150,No user reviews,0,0
3111230,No user reviews,0,0
3111240,Mostly Positive,52,15
3111290,3 user reviews,3,0
3111330,1 user reviews,0,1
3111380,No user reviews,0,0
3111430,No user reviews,0,0
3111510,Mostly Positive,154,51
3111550,Positive,11,2
3111570,No user reviews,0,0
3111580,Mostly Positive,33,14
3111600,No user reviews,0,0
3111620,Positive,11,2
3111630,Positive,25,6
3111650,No user reviews,0,0
3111670,6 user reviews,6,0
3111680,Mostly Positive,179,45
