appid,name,is_free,developers,publishers,price_final,price_currency,windows,mac,linux,categories,genres,release_date
1300,SiN Episodes: Emergence,False,"[""Ritual Entertainment""]","[""Atari"", ""Nightdive Studios""]",199.0,USD,True,False,False,"[""Single-player"", ""Stats"", ""Family Sharing""]","[""Action""]",2006-05-10
1313,SiN Gold,False,"[""Ritual Entertainment"", ""Nightdive Studios""]","[""Nightdive Studios"", ""Atari""]",199.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""LAN PvP"", ""Family Sharing""]","[""Action""]",2020-03-18
1500,Darwinia,False,"[""Introversion Software""]","[""Introversion Software""]",1199.0,USD,True,True,True,"[""Single-player"", ""Full controller support"", ""Steam Cloud"", ""Includes level editor"", ""Family Sharing""]","[""Indie"", ""Strategy""]",2005-12-01
1510,Uplink,False,"[""Introversion Software""]","[""Introversion Software""]",1199.0,USD,True,True,True,"[""Single-player"", ""Family Sharing""]","[""Indie"", ""Strategy""]",2006-08-23
1520,DEFCON,False,"[""Introversion Software""]","[""Introversion Software""]",1199.0,USD,True,True,True,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""LAN PvP"", ""Co-op"", ""Online Co-op"", ""LAN Co-op"", ""Cross-Platform Multiplayer"", ""Steam Achievements"", ""Family Sharing""]","[""Indie"", ""Strategy""]",2006-09-29
1530,Multiwinia,False,"[""Introversion Software""]","[""Introversion Software""]",1199.0,USD,True,True,False,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""LAN PvP"", ""Co-op"", ""Online Co-op"", ""LAN Co-op"", ""Steam Achievements"", ""Family Sharing""]","[""Indie""]",2008-09-19
1600,Dangerous Waters,False,"[""Sonalysts""]","[""Strategy First""]",299.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Strategy""]",2006-02-07
1610,Space Empires IV Deluxe,False,"[""Malfador Machinations""]","[""Strategy First""]",999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Strategy""]",2006-02-07
1620,Jagged Alliance 2 Gold,False,"[""Sir-Tech""]","[""Strategy First""]",1999.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Strategy""]",2006-07-06
1630,Disciples II: Rise of the Elves ,False,"[""Strategy First""]","[""Strategy First""]",119.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Co-op"", ""Family Sharing""]","[""Strategy""]",2006-07-06
1640,Disciples II: Gallean's Return,False,"[""Strategy First""]","[""Strategy First""]",119.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Co-op"", ""Family Sharing""]","[""Strategy""]",2006-07-06
1670,Iron Warriors: T-72 Tank Command ,False,"[""Crazy House""]","[""Strategy First""]",599.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Action"", ""Simulation"", ""Strategy""]",2006-07-26
1690,Space Empires V,False,"[""Malfador Machinations""]","[""Strategy First""]",1499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Strategy""]",2006-10-16
1700,Arx Fatalis,False,"[""Arkane Studios""]","[""Arkane Studios""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""RPG""]",2007-04-03
