appid,name,is_free,developers,publishers,price_final,price_currency,windows,mac,linux,categories,genres,release_date
3380,Dynomite Deluxe,False,"[""PopCap Games, Inc.""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3390,Feeding Frenzy 2 Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3400,Hammer Heads Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc.""]",,,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3410,Heavy Weapon Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc.""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3420,Iggle Pop Deluxe,False,"[""PopCap Games, Inc.""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3430,Pizza Frenzy Deluxe,False,"[""PopCap Games, Inc.""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3450,Typer Shark! Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc.""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3460,Talismania Deluxe,False,"[""PopCap Games, Inc.""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3480,Peggle Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,True,False,"[""Single-player"", ""Remote Play on Phone"", ""Remote Play on Tablet"", ""Family Sharing""]","[""Casual""]",2007-03-06
3483,Peggle Extreme,True,"[""PopCap Games, Inc.""]","[""Electronic Arts""]",,,True,False,False,"[""Single-player"", ""Remote Play on Phone"", ""Remote Play on Tablet""]","[""Casual"", ""Free To Play""]",2007-09-11
3490,Venice Deluxe,False,"[""Retro64, Inc.""]","[""PopCap Games, Inc.""]",,,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2007-06-25
3500,Mystery P.I.™ - The Lottery Ticket,False,"[""SpinTop Games""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2007-10-16
3510,Amazing Adventures The Lost Tomb™,False,"[""SpinTop Games""]","[""PopCap Games, Inc.""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2007-12-13
3520,Mystery P.I.™ - The Vegas Heist,False,"[""SpinTop Games""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2008-06-05
3530,Amazing Adventures Around the World,False,"[""SpinTop Games""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2009-04-15
3540,Peggle™ Nights,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,True,False,"[""Single-player"", ""Remote Play on Phone"", ""Remote Play on Tablet"", ""Family Sharing""]","[""Casual""]",2008-10-15
3560,Bejeweled Twist,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual"", ""Strategy""]",2008-11-18
3570,Mystery P.I.™ - The New York Fortune,False,"[""SpinTop Games""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2009-01-28
3580,The Wizard's Pen™,False,"[""PopCap Games, Inc.""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2009-02-18
3590,Plants vs. Zombies GOTY Edition,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,True,False,"[""Single-player"", ""Steam Achievements"", ""Remote Play on Phone"", ""Remote Play on Tablet"", ""Family Sharing""]","[""Strategy""]",2009-05-05
3600,Escape Rosecliff Island,False,"[""SpinTop Games""]","[""Electronic Arts""]",499.0,USD,True,True,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2009-04-15
3610,Mystery P.I. - Lost in Los Angeles,False,"[""SpinTop Games""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2009-07-27
